[2026/09/09 16:24:36] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:08:58] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:00] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:11] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:13] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:16] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:18] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:21] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:24] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:26] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:29] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:31] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:34] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:37] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:39] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:42] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:44] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:47] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:52] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:55] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:09:57] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:00] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:05] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:10] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:13] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:16] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:18] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:21] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:23] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:26] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:10:28] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:11] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:29] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:32] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:13:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:37] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:42] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:45] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:48] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:14:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:29] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:32] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:34] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:37] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:42] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:45] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:47] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:52] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:15:55] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:27] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:30] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:33] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:38] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:41] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:43] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:46] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:48] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:51] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:54] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:56] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:16:59] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:01] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:04] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:09] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:12] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:17] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:19] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:22] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:25] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:27] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:30] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:32] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:38] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:43] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:45] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:48] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:53] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:55] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:17:58] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:01] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:09] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:11] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:16] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:19] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:22] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:24] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:27] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:30] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:32] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:37] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:43] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:45] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:48] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:53] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:55] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:18:58] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:01] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:11] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:16] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:19] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:21] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:24] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:26] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:29] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:32] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:34] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:37] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:39] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:42] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:45] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:47] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:50] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:52] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:55] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:19:57] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:00] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:05] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:10] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:13] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:15] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:18] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:21] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:23] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:26] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:28] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:31] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:20:34] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:03] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:06] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:09] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:11] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:14] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:16] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:19] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:22] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:24] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:27] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:29] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:32] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:38:35] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:16] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:19] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:24] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:33] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:36] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/09/09 17:42:38] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:41] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:44] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:47] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:49] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:52] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:55] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:42:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:00] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:03] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:06] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:08] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:11] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:13] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:16] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:19] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:22] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:24] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:27] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:30] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:32] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:35] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:38] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:40] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:46] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:48] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:51] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:54] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:57] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:43:59] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:02] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:05] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:07] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:10] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:13] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:15] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:18] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:21] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:24] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:26] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:29] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:32] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:34] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:37] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:40] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:43] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:45] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/09/09 17:44:48] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
